"marker";"chrom";"loc"
"IWA826";"IWA826";"4A";48838
"IWA1074";"IWA1074";"4A";48981
"IWA1295";"IWA1295";"4A";48981
"IWA1527";"IWA1527";"4A";48981
"IWA1570";"IWA1570";"4A";48981
"IWA1795";"IWA1795";"4A";48981
"IWA192";"IWA192";"4A";48981
"IWA2585";"IWA2585";"4A";48981
"IWA2900";"IWA2900";"4A";48981
"IWA2901";"IWA2901";"4A";48981
"IWA3191";"IWA3191";"4A";48981
"IWA3489";"IWA3489";"4A";48981
"IWA3490";"IWA3490";"4A";48981
"IWA401";"IWA401";"4A";48981
"IWA4395";"IWA4395";"4A";48981
"IWA4876";"IWA4876";"4A";48981
"IWA5036";"IWA5036";"4A";48981
"IWA5335";"IWA5335";"4A";48981
"IWA5453";"IWA5453";"4A";48981
"IWA5687";"IWA5687";"4A";48981
"IWA6443";"IWA6443";"4A";48981
"IWA7203";"IWA7203";"4A";48981
"IWA7699";"IWA7699";"4A";48981
"IWA7875";"IWA7875";"4A";48981
"IWA8";"IWA8";"4A";48981
"IWA8131";"IWA8131";"4A";48981
"IWA8495";"IWA8495";"4A";48981
"IWA1400";"IWA1400";"4A";49800
"IWA2734";"IWA2734";"4A";49800
"IWA3302";"IWA3302";"4A";49800
"IWA4254";"IWA4254";"4A";49800
"IWA4319";"IWA4319";"4A";49800
"IWA6377";"IWA6377";"4A";49800
"IWA7107";"IWA7107";"4A";49800
"IWA4253";"IWA4253";"4A";50086
"IWA4921";"IWA4921";"4A";50086
"IWA4867";"IWA4867";"4A";50454
"IWA5699";"IWA5699";"4A";50454
"IWA1804";"IWA1804";"4A";51152
"IWA402";"IWA402";"4A";51152
"IWA4698";"IWA4698";"4A";51152
"IWA1711";"IWA1711";"4A";51367
"IWA2044";"IWA2044";"4A";51367
"IWA2045";"IWA2045";"4A";51367
"IWA2211";"IWA2211";"4A";51367
"IWA2793";"IWA2793";"4A";51367
"IWA2794";"IWA2794";"4A";51367
"IWA2864";"IWA2864";"4A";51367
"IWA4431";"IWA4431";"4A";51367
"IWA4512";"IWA4512";"4A";51367
"IWA4657";"IWA4657";"4A";51367
"IWA483";"IWA483";"4A";51367
"IWA5026";"IWA5026";"4A";51367
"IWA5269";"IWA5269";"4A";51367
"IWA5291";"IWA5291";"4A";51367
"IWA568";"IWA568";"4A";51367
"IWA6501";"IWA6501";"4A";51367
"IWA101";"IWA101";"4A";51699
"IWA482";"IWA482";"4A";51699
"IWA3664";"IWA3664";"4A";51970
"IWA4201";"IWA4201";"4A";51970
"IWA4784";"IWA4784";"4A";51970
"IWA4785";"IWA4785";"4A";51970
"IWA4786";"IWA4786";"4A";51970
"IWA5123";"IWA5123";"4A";51970
"IWA53";"IWA53";"4A";51970
"IWA7346";"IWA7346";"4A";51970
"IWA5349";"IWA5349";"4A";53860
"IWA6193";"IWA6193";"4A";54512
"IWA2606";"IWA2606";"4A";54829
"IWA7077";"IWA7077";"4A";54829
"IWA2460";"IWA2460";"4A";57299
"IWA2207";"IWA2207";"4A";58383
"IWA2582";"IWA2582";"4A";58383
"IWA3728";"IWA3728";"4A";58383
"IWA3981";"IWA3981";"4A";58383
"IWA4023";"IWA4023";"4A";58383
"IWA6882";"IWA6882";"4A";58383
"IWA7442";"IWA7442";"4A";58383
"IWA7535";"IWA7535";"4A";58383
"IWA4199";"IWA4199";"4A";60385
"IWA8432";"IWA8432";"4A";61912
"IWA1720";"IWA1720";"4A";65955
"IWA5200";"IWA5200";"4A";65955
"IWA1692";"IWA1692";"4A";66279
"IWA7058";"IWA7058";"4A";66954
"IWA6733";"IWA6733";"4A";68276
"IWA2383";"IWA2383";"4A";69596
"IWA2904";"IWA2904";"4A";69964
"IWA6906";"IWA6906";"4A";69964
"IWA3756";"IWA3756";"4A";80051
"IWA8209";"IWA8209";"4A";87374
"IWA2761";"IWA2761";"4A";91194
"IWA3188";"IWA3188";"4A";94115
"IWA485";"IWA485";"4A";94115
"IWA5152";"IWA5152";"4A";95270
"IWA7653";"IWA7653";"4A";97600
"IWA6418";"IWA6418";"4A";99190
"IWA2816";"IWA2816";"4A";102044
"IWA3061";"IWA3061";"4A";105871
"IWA3698";"IWA3698";"4A";105871
"IWA5968";"IWA5968";"4A";108761
"IWA3068";"IWA3068";"4A";110131
"IWA7322";"IWA7322";"4A";111272
"IWA6563";"IWA6563";"4A";121668
"IWA558";"IWA558";"4A";122686
"IWA3864";"IWA3864";"4A";127122
"IWA559";"IWA559";"4A";127122
"IWA1635";"IWA1635";"4A";132947
"IWA7765";"IWA7765";"4A";132947
"IWA6690";"IWA6690";"4A";137279
"IWA6696";"IWA6696";"4A";142285
"IWA4651";"IWA4651";"4A";144377
"IWA3449";"IWA3449";"4A";147146
"IWA1835";"IWA1835";"4A";151327
"IWA1836";"IWA1836";"4A";151327
"IWA1410";"IWA1410";"4A";164130
"IWA4858";"IWA4858";"4A";164130
"IWA5353";"IWA5353";"4A";164130
"IWA6457";"IWA6457";"4B";6776
"IWA2298";"IWA2298";"4B";32658
"IWA8107";"IWA8107";"4B";32658
"IWA8108";"IWA8108";"4B";32658
"IWA8178";"IWA8178";"4B";36778
"IWA3615";"IWA3615";"4B";38299
"IWA4569";"IWA4569";"4B";39931
"IWA3290";"IWA3290";"4B";44575
"IWA8109";"IWA8109";"4B";45466
"IWA4662";"IWA4662";"4B";46861
"IWA4787";"IWA4787";"4B";52701
"IWA7641";"IWA7641";"4B";59942
"IWA76";"IWA76";"4B";60391
"IWA8263";"IWA8263";"4B";60391
"IWA113";"IWA113";"4B";61838
"IWA327";"IWA327";"4B";62218
"IWA1327";"IWA1327";"4B";62533
"IWA2591";"IWA2591";"4B";62564
"IWA4429";"IWA4429";"4B";62564
"IWA1071";"IWA1071";"4B";63198
"IWA5679";"IWA5679";"4B";64038
"IWA8564";"IWA8564";"4B";64038
"IWA3325";"IWA3325";"4B";66324
"IWA4055";"IWA4055";"4B";66574
"IWA2963";"IWA2963";"4B";66889
"IWA7711";"IWA7711";"4B";69779
"IWA3240";"IWA3240";"4B";69864
"IWA3736";"IWA3736";"4B";70906
"IWA4347";"IWA4347";"4B";70906
"IWA4348";"IWA4348";"4B";70906
"IWA1818";"IWA1818";"4B";71290
"IWA6635";"IWA6635";"4B";71290
"IWA1006";"IWA1006";"4B";71461
"IWA2398";"IWA2398";"4B";71461
"IWA2683";"IWA2683";"4B";71461
"IWA2745";"IWA2745";"4B";71461
"IWA3400";"IWA3400";"4B";71461
"IWA4070";"IWA4070";"4B";71461
"IWA6898";"IWA6898";"4B";71461
"IWA7167";"IWA7167";"4B";71461
"IWA7168";"IWA7168";"4B";71461
"IWA7313";"IWA7313";"4B";71461
"IWA7437";"IWA7437";"4B";71461
"IWA8163";"IWA8163";"4B";71461
"IWA1007";"IWA1007";"4B";72137
"IWA3874";"IWA3874";"4B";72318
"IWA6480";"IWA6480";"4B";72318
"IWA5831";"IWA5831";"4B";72524
"IWA7752";"IWA7752";"4B";72527
"IWA1382";"IWA1382";"4B";73840
"IWA2171";"IWA2171";"4B";73840
"IWA2755";"IWA2755";"4B";73840
"IWA3551";"IWA3551";"4B";73860
"IWA3608";"IWA3608";"4B";73860
"IWA3609";"IWA3609";"4B";73860
"IWA3611";"IWA3611";"4B";73860
"IWA4640";"IWA4640";"4B";73860
"IWA3074";"IWA3074";"4B";75646
"IWA3396";"IWA3396";"4B";75646
"IWA908";"IWA908";"4B";75646
"IWA3381";"IWA3381";"4B";76071
"IWA4041";"IWA4041";"4B";77719
"IWA5929";"IWA5929";"4B";79738
"IWA7566";"IWA7566";"4B";80612
"IWA6461";"IWA6461";"4B";81352
"IWA3038";"IWA3038";"4B";81716
"IWA3039";"IWA3039";"4B";81716
"IWA3040";"IWA3040";"4B";81716
"IWA3042";"IWA3042";"4B";81716
"IWA5365";"IWA5365";"4B";81716
"IWA3279";"IWA3279";"4B";86990
"IWA1861";"IWA1861";"4B";90705
"IWA2595";"IWA2595";"4B";97735
"IWA5408";"IWA5408";"4B";97735
"IWA2031";"IWA2031";"4B";98653
"IWA5358";"IWA5358";"4B";101347
"IWA564";"IWA564";"4B";104048
"IWA3780";"IWA3780";"4B";104788
"IWA3781";"IWA3781";"4B";104788
"IWA27";"IWA27";"4B";105665
"IWA3770";"IWA3770";"4B";114871
"IWA752";"IWA752";"4D";69208
"IWA5156";"IWA5156";"4D";70590
"IWA7344";"IWA7344";"4D";79827
"IWA1820";"IWA1820";"4D";80677
"IWA5381";"IWA5381";"4D";80677
"IWA5707";"IWA5707";"4D";80902
"IWA1784";"IWA1784";"4D";82041
"IWA5766";"IWA5766";"4D";82041
"IWA3791";"IWA3791";"4D";83844
"IWA430";"IWA430";"4D";83844
"IWA1633";"IWA1633";"4D";84729
"IWA2080";"IWA2080";"4D";86677
"IWA5751";"IWA5751";"4D";88428
"IWA465";"IWA465";"4D";90983
"IWA3555";"IWA3555";"4D";92110
"IWA286";"IWA286";"4D";92752
"IWA3815";"IWA3815";"4D";93058
"IWA3471";"IWA3471";"4D";105070
"IWA6277";"IWA6277";"4D";105070
"IWA6591";"IWA6591";"4D";153688
"IWA4445";"IWA4445";"5A";8658
"IWA1575";"IWA1575";"5A";13777
"IWA3921";"IWA3921";"5A";15533
"IWA1718";"IWA1718";"5A";15609
"IWA1978";"IWA1978";"5A";15609
"IWA333";"IWA333";"5A";15609
"IWA4970";"IWA4970";"5A";15609
"IWA6237";"IWA6237";"5A";15609
"IWA6404";"IWA6404";"5A";15609
"IWA6412";"IWA6412";"5A";15609
"IWA6606";"IWA6606";"5A";15609
"IWA7226";"IWA7226";"5A";15609
"IWA7360";"IWA7360";"5A";15609
"IWA8119";"IWA8119";"5A";15609
"IWA3566";"IWA3566";"5A";15856
"IWA3567";"IWA3567";"5A";15856
"IWA5923";"IWA5923";"5A";15856
"IWA4446";"IWA4446";"5A";16350
"IWA8582";"IWA8582";"5A";19891
"IWA8201";"IWA8201";"5A";19893
"IWA2144";"IWA2144";"5A";22607
"IWA2145";"IWA2145";"5A";22607
"IWA2146";"IWA2146";"5A";22607
"IWA480";"IWA480";"5A";22607
"IWA7361";"IWA7361";"5A";25647
"IWA154";"IWA154";"5A";26506
"IWA2354";"IWA2354";"5A";26506
"IWA2548";"IWA2548";"5A";26506
"IWA2814";"IWA2814";"5A";26506
"IWA3197";"IWA3197";"5A";26506
"IWA3212";"IWA3212";"5A";26506
"IWA4424";"IWA4424";"5A";26506
"IWA5295";"IWA5295";"5A";26506
"IWA5914";"IWA5914";"5A";26506
"IWA6196";"IWA6196";"5A";26506
"IWA6463";"IWA6463";"5A";26506
"IWA7392";"IWA7392";"5A";26506
"IWA7530";"IWA7530";"5A";26506
"IWA8048";"IWA8048";"5A";26506
"IWA8202";"IWA8202";"5A";26506
"IWA1569";"IWA1569";"5A";29544
"IWA7302";"IWA7302";"5A";32326
"IWA4766";"IWA4766";"5A";35376
"IWA4767";"IWA4767";"5A";35376
"IWA1062";"IWA1062";"5A";35949
"IWA4069";"IWA4069";"5A";35949
"IWA4765";"IWA4765";"5A";35949
"IWA2378";"IWA2378";"5A";36582
"IWA3365";"IWA3365";"5A";36582
"IWA3811";"IWA3811";"5A";36582
"IWA5728";"IWA5728";"5A";36874
"IWA825";"IWA825";"5A";38905
"IWA3530";"IWA3530";"5A";39620
"IWA7061";"IWA7061";"5A";39620
"IWA3190";"IWA3190";"5A";42031
"IWA8154";"IWA8154";"5A";42031
"IWA8155";"IWA8155";"5A";42031
"IWA2120";"IWA2120";"5A";42856
"IWA3445";"IWA3445";"5A";42856
"IWA4736";"IWA4736";"5A";42856
"IWA1546";"IWA1546";"5A";43267
"IWA155";"IWA155";"5A";43267
"IWA1943";"IWA1943";"5A";43267
"IWA2467";"IWA2467";"5A";43267
"IWA3055";"IWA3055";"5A";43267
"IWA5395";"IWA5395";"5A";43267
"IWA5496";"IWA5496";"5A";43267
"IWA7351";"IWA7351";"5A";43267
"IWA7565";"IWA7565";"5A";43267
"IWA8563";"IWA8563";"5A";43267
"IWA87";"IWA87";"5A";43267
"IWA1301";"IWA1301";"5A";43379
"IWA3100";"IWA3100";"5A";43379
"IWA5521";"IWA5521";"5A";43445
"IWA3975";"IWA3975";"5A";45082
"IWA5538";"IWA5538";"5A";45082
"IWA5539";"IWA5539";"5A";45082
"IWA5735";"IWA5735";"5A";46055
"IWA7129";"IWA7129";"5A";46073
"IWA7130";"IWA7130";"5A";46073
"IWA5884";"IWA5884";"5A";48935
"IWA5528";"IWA5528";"5A";49011
"IWA5032";"IWA5032";"5A";49229
"IWA5034";"IWA5034";"5A";49375
"IWA5033";"IWA5033";"5A";49389
"IWA3873";"IWA3873";"5A";49614
"IWA300";"IWA300";"5A";50381
"IWA4734";"IWA4734";"5A";50381
"IWA5380";"IWA5380";"5A";50595
"IWA5567";"IWA5567";"5A";50595
"IWA2101";"IWA2101";"5A";51124
"IWA2926";"IWA2926";"5A";51450
"IWA6036";"IWA6036";"5A";52800
"IWA850";"IWA850";"5A";52800
"IWA104";"IWA104";"5A";53465
"IWA2172";"IWA2172";"5A";53465
"IWA2445";"IWA2445";"5A";53465
"IWA2447";"IWA2447";"5A";53465
"IWA2917";"IWA2917";"5A";53465
"IWA3201";"IWA3201";"5A";53465
"IWA4476";"IWA4476";"5A";53465
"IWA4477";"IWA4477";"5A";53465
"IWA5327";"IWA5327";"5A";53465
"IWA5330";"IWA5330";"5A";53465
"IWA6126";"IWA6126";"5A";53465
"IWA6233";"IWA6233";"5A";53465
"IWA6544";"IWA6544";"5A";53465
"IWA703";"IWA703";"5A";53465
"IWA7773";"IWA7773";"5A";53465
"IWA8008";"IWA8008";"5A";53465
"IWA8009";"IWA8009";"5A";53465
"IWA8012";"IWA8012";"5A";53465
"IWA8013";"IWA8013";"5A";53465
"IWA8118";"IWA8118";"5A";53465
"IWA3683";"IWA3683";"5A";55127
"IWA1686";"IWA1686";"5A";55600
"IWA4668";"IWA4668";"5A";56475
"IWA4670";"IWA4670";"5A";56475
"IWA6522";"IWA6522";"5A";56475
"IWA6523";"IWA6523";"5A";56475
"IWA3313";"IWA3313";"5A";56485
"IWA3413";"IWA3413";"5A";56485
"IWA3647";"IWA3647";"5A";56485
"IWA4669";"IWA4669";"5A";56485
"IWA6515";"IWA6515";"5A";56485
"IWA4629";"IWA4629";"5A";57929
"IWA1685";"IWA1685";"5A";58155
"IWA4914";"IWA4914";"5A";59281
"IWA6949";"IWA6949";"5A";60609
"IWA1249";"IWA1249";"5A";61159
"IWA5048";"IWA5048";"5A";61159
"IWA4299";"IWA4299";"5A";62718
"IWA5118";"IWA5118";"5A";62718
"IWA7404";"IWA7404";"5A";62718
"IWA7405";"IWA7405";"5A";62718
"IWA7529";"IWA7529";"5A";62718
"IWA262";"IWA262";"5A";63240
"IWA247";"IWA247";"5A";63246
"IWA263";"IWA263";"5A";64210
"IWA4051";"IWA4051";"5A";64624
"IWA4052";"IWA4052";"5A";64624
"IWA2883";"IWA2883";"5A";66999
"IWA3827";"IWA3827";"5A";66999
"IWA7135";"IWA7135";"5A";66999
"IWA2429";"IWA2429";"5A";68800
"IWA4687";"IWA4687";"5A";68948
"IWA3370";"IWA3370";"5A";70300
"IWA2364";"IWA2364";"5A";73971
"IWA6456";"IWA6456";"5A";74762
"IWA2363";"IWA2363";"5A";74784
"IWA7665";"IWA7665";"5A";76809
"IWA3996";"IWA3996";"5A";81129
"IWA4391";"IWA4391";"5A";84127
"IWA5945";"IWA5945";"5A";84581
"IWA1486";"IWA1486";"5A";86358
"IWA4648";"IWA4648";"5A";86358
"IWA5623";"IWA5623";"5A";86588
"IWA2013";"IWA2013";"5A";88026
"IWA2224";"IWA2224";"5A";88026
"IWA4860";"IWA4860";"5A";88026
"IWA6640";"IWA6640";"5A";88026
"IWA7025";"IWA7025";"5A";88026
"IWA3625";"IWA3625";"5A";89017
"IWA4469";"IWA4469";"5A";89017
"IWA6681";"IWA6681";"5A";89017
"IWA6682";"IWA6682";"5A";89017
"IWA6683";"IWA6683";"5A";89017
"IWA7553";"IWA7553";"5A";89017
"IWA7579";"IWA7579";"5A";89017
"IWA6961";"IWA6961";"5A";89184
"IWA3362";"IWA3362";"5A";89562
"IWA5288";"IWA5288";"5A";89562
"IWA3363";"IWA3363";"5A";89957
"IWA4719";"IWA4719";"5A";89957
"IWA1";"IWA1";"5A";90544
"IWA4220";"IWA4220";"5A";90544
"IWA4221";"IWA4221";"5A";90544
"IWA4398";"IWA4398";"5A";90544
"IWA455";"IWA455";"5A";90544
"IWA2743";"IWA2743";"5A";91303
"IWA5287";"IWA5287";"5A";91303
"IWA4447";"IWA4447";"5A";91994
"IWA2256";"IWA2256";"5A";92354
"IWA4448";"IWA4448";"5A";92354
"IWA4449";"IWA4449";"5A";92354
"IWA7255";"IWA7255";"5A";92354
"IWA7256";"IWA7256";"5A";92564
"IWA3887";"IWA3887";"5A";92604
"IWA8320";"IWA8320";"5A";92604
"IWA2657";"IWA2657";"5A";92869
"IWA5040";"IWA5040";"5A";92869
"IWA4276";"IWA4276";"5A";93229
"IWA4805";"IWA4805";"5A";93229
"IWA5173";"IWA5173";"5A";93229
"IWA835";"IWA835";"5A";93229
"IWA4813";"IWA4813";"5A";93235
"IWA4814";"IWA4814";"5A";93235
"IWA4394";"IWA4394";"5A";94497
"IWA2836";"IWA2836";"5A";94942
"IWA674";"IWA674";"5A";98436
"IWA675";"IWA675";"5A";98436
"IWA7043";"IWA7043";"5A";98436
"IWA3702";"IWA3702";"5A";98715
"IWA3705";"IWA3705";"5A";98715
"IWA2959";"IWA2959";"5A";99560
"IWA3704";"IWA3704";"5A";99882
"IWA2163";"IWA2163";"5A";103637
"IWA2113";"IWA2113";"5A";111200
"IWA2114";"IWA2114";"5A";111200
"IWA2856";"IWA2856";"5A";111200
"IWA2857";"IWA2857";"5A";111200
"IWA2858";"IWA2858";"5A";111200
"IWA2859";"IWA2859";"5A";111200
"IWA4238";"IWA4238";"5A";111200
"IWA4239";"IWA4239";"5A";111200
"IWA5154";"IWA5154";"5A";111200
"IWA7009";"IWA7009";"5A";111200
"IWA821";"IWA821";"5A";111200
"IWA3323";"IWA3323";"5A";113146
"IWA4223";"IWA4223";"5A";117671
"IWA2897";"IWA2897";"5A";120436
"IWA2828";"IWA2828";"5A";125199
"IWA7162";"IWA7162";"5A";125199
"IWA2837";"IWA2837";"5A";125682
"IWA2838";"IWA2838";"5A";125682
"IWA2839";"IWA2839";"5A";125682
"IWA7491";"IWA7491";"5A";125682
"IWA3083";"IWA3083";"5A";127626
"IWA648";"IWA648";"5A";130901
"IWA2947";"IWA2947";"5A";131425
"IWA5002";"IWA5002";"5A";131425
"IWA5003";"IWA5003";"5A";131425
"IWA7509";"IWA7509";"5A";139753
"IWA2087";"IWA2087";"5A";141749
"IWA2641";"IWA2641";"5A";148304
"IWA2642";"IWA2642";"5A";148304
"IWA2645";"IWA2645";"5A";148304
"IWA2646";"IWA2646";"5A";148304
"IWA868";"IWA868";"5B";3940
"IWA2916";"IWA2916";"5B";11234
"IWA4415";"IWA4415";"5B";11234
"IWA4416";"IWA4416";"5B";11234
"IWA4790";"IWA4790";"5B";11234
"IWA2915";"IWA2915";"5B";11730
"IWA7400";"IWA7400";"5B";11730
"IWA5537";"IWA5537";"5B";12905
"IWA3457";"IWA3457";"5B";13597
"IWA5891";"IWA5891";"5B";15657
"IWA6251";"IWA6251";"5B";18329
"IWA420";"IWA420";"5B";19658
"IWA1709";"IWA1709";"5B";20234
"IWA421";"IWA421";"5B";20234
"IWA5176";"IWA5176";"5B";20234
"IWA7153";"IWA7153";"5B";21396
"IWA332";"IWA332";"5B";25088
"IWA3514";"IWA3514";"5B";25088
"IWA4355";"IWA4355";"5B";25179
"IWA1144";"IWA1144";"5B";29112
"IWA4856";"IWA4856";"5B";32363
"IWA7359";"IWA7359";"5B";34970
"IWA1719";"IWA1719";"5B";35080
"IWA1810";"IWA1810";"5B";35080
"IWA1330";"IWA1330";"5B";37221
"IWA1176";"IWA1176";"5B";38495
"IWA4378";"IWA4378";"5B";38495
"IWA4379";"IWA4379";"5B";38495
"IWA5078";"IWA5078";"5B";38495
"IWA5079";"IWA5079";"5B";38495
"IWA4353";"IWA4353";"5B";38888
"IWA2992";"IWA2992";"5B";39358
"IWA2679";"IWA2679";"5B";39400
"IWA2680";"IWA2680";"5B";39400
"IWA5403";"IWA5403";"5B";39400
"IWA5404";"IWA5404";"5B";39400
"IWA5548";"IWA5548";"5B";39400
"IWA2930";"IWA2930";"5B";39641
"IWA5494";"IWA5494";"5B";39641
"IWA620";"IWA620";"5B";39905
"IWA1779";"IWA1779";"5B";40378
"IWA5773";"IWA5773";"5B";40462
"IWA2139";"IWA2139";"5B";40546
"IWA2742";"IWA2742";"5B";40546
"IWA4016";"IWA4016";"5B";40546
"IWA4757";"IWA4757";"5B";40546
"IWA4835";"IWA4835";"5B";40546
"IWA4836";"IWA4836";"5B";40546
"IWA5764";"IWA5764";"5B";40546
"IWA7318";"IWA7318";"5B";40546
"IWA7372";"IWA7372";"5B";40546
"IWA1781";"IWA1781";"5B";40552
"IWA1379";"IWA1379";"5B";40565
"IWA1770";"IWA1770";"5B";40565
"IWA1771";"IWA1771";"5B";40565
"IWA2311";"IWA2311";"5B";40565
"IWA2320";"IWA2320";"5B";40565
"IWA3870";"IWA3870";"5B";40565
"IWA4060";"IWA4060";"5B";40565
"IWA4127";"IWA4127";"5B";40565
"IWA4656";"IWA4656";"5B";40565
"IWA5062";"IWA5062";"5B";40565
"IWA5517";"IWA5517";"5B";40565
"IWA5603";"IWA5603";"5B";40565
"IWA5604";"IWA5604";"5B";40565
"IWA5609";"IWA5609";"5B";40565
"IWA5730";"IWA5730";"5B";40565
"IWA6030";"IWA6030";"5B";40565
"IWA6447";"IWA6447";"5B";40565
"IWA6694";"IWA6694";"5B";40565
"IWA7244";"IWA7244";"5B";40565
"IWA2910";"IWA2910";"5B";40600
"IWA4686";"IWA4686";"5B";40600
"IWA5334";"IWA5334";"5B";40600
"IWA6429";"IWA6429";"5B";40600
"IWA6567";"IWA6567";"5B";40600
"IWA6568";"IWA6568";"5B";40600
"IWA6910";"IWA6910";"5B";40600
"IWA7217";"IWA7217";"5B";40600
"IWA7857";"IWA7857";"5B";40600
"IWA894";"IWA894";"5B";40600
"IWA1626";"IWA1626";"5B";41347
"IWA2563";"IWA2563";"5B";41347
"IWA279";"IWA279";"5B";41347
"IWA3101";"IWA3101";"5B";41347
"IWA5126";"IWA5126";"5B";41347
"IWA6065";"IWA6065";"5B";41347
"IWA6846";"IWA6846";"5B";41589
"IWA7774";"IWA7774";"5B";41894
"IWA1155";"IWA1155";"5B";43308
"IWA2257";"IWA2257";"5B";43308
"IWA3056";"IWA3056";"5B";43308
"IWA4015";"IWA4015";"5B";43308
"IWA4526";"IWA4526";"5B";43308
"IWA1057";"IWA1057";"5B";43417
"IWA1705";"IWA1705";"5B";43417
"IWA396";"IWA396";"5B";43417
"IWA1030";"IWA1030";"5B";43562
"IWA1084";"IWA1084";"5B";43562
"IWA1908";"IWA1908";"5B";43562
"IWA1965";"IWA1965";"5B";43562
"IWA1994";"IWA1994";"5B";43562
"IWA2065";"IWA2065";"5B";43562
"IWA2071";"IWA2071";"5B";43562
"IWA2310";"IWA2310";"5B";43562
"IWA2410";"IWA2410";"5B";43562
"IWA2553";"IWA2553";"5B";43562
"IWA271";"IWA271";"5B";43562
"IWA2715";"IWA2715";"5B";43562
"IWA3209";"IWA3209";"5B";43562
"IWA4282";"IWA4282";"5B";43562
"IWA4400";"IWA4400";"5B";43562
"IWA4540";"IWA4540";"5B";43562
"IWA4544";"IWA4544";"5B";43562
"IWA4547";"IWA4547";"5B";43562
"IWA468";"IWA468";"5B";43562
"IWA4756";"IWA4756";"5B";43562
"IWA5086";"IWA5086";"5B";43562
"IWA5281";"IWA5281";"5B";43562
"IWA5412";"IWA5412";"5B";43562
"IWA5519";"IWA5519";"5B";43562
"IWA6527";"IWA6527";"5B";43562
"IWA6602";"IWA6602";"5B";43562
"IWA6748";"IWA6748";"5B";43562
"IWA6987";"IWA6987";"5B";43562
"IWA7079";"IWA7079";"5B";43562
"IWA7096";"IWA7096";"5B";43562
"IWA7300";"IWA7300";"5B";43562
"IWA7307";"IWA7307";"5B";43562
"IWA7515";"IWA7515";"5B";43562
"IWA7608";"IWA7608";"5B";43562
"IWA8193";"IWA8193";"5B";43562
"IWA8569";"IWA8569";"5B";43562
"IWA2032";"IWA2032";"5B";45358
"IWA4758";"IWA4758";"5B";45358
"IWA5497";"IWA5497";"5B";45358
"IWA5439";"IWA5439";"5B";45397
"IWA5440";"IWA5440";"5B";45397
"IWA5634";"IWA5634";"5B";45397
"IWA1706";"IWA1706";"5B";46066
"IWA5321";"IWA5321";"5B";46362
"IWA4414";"IWA4414";"5B";46404
"IWA2118";"IWA2118";"5B";46694
"IWA303";"IWA303";"5B";46987
"IWA5784";"IWA5784";"5B";46987
"IWA7127";"IWA7127";"5B";48294
"IWA4422";"IWA4422";"5B";48757
"IWA1584";"IWA1584";"5B";49008
"IWA2596";"IWA2596";"5B";49008
"IWA2597";"IWA2597";"5B";49008
"IWA3706";"IWA3706";"5B";49008
"IWA3707";"IWA3707";"5B";49008
"IWA4158";"IWA4158";"5B";49008
"IWA4494";"IWA4494";"5B";49008
"IWA5279";"IWA5279";"5B";49008
"IWA5280";"IWA5280";"5B";49008
"IWA6689";"IWA6689";"5B";49008
"IWA8005";"IWA8005";"5B";49008
"IWA8518";"IWA8518";"5B";49008
"IWA1777";"IWA1777";"5B";49021
"IWA5289";"IWA5289";"5B";49021
"IWA6344";"IWA6344";"5B";49021
"IWA7227";"IWA7227";"5B";49079
"IWA8603";"IWA8603";"5B";51036
"IWA123";"IWA123";"5B";51159
"IWA3633";"IWA3633";"5B";51159
"IWA6979";"IWA6979";"5B";51889
"IWA1471";"IWA1471";"5B";52095
"IWA7123";"IWA7123";"5B";52095
"IWA7944";"IWA7944";"5B";52095
"IWA4533";"IWA4533";"5B";52404
"IWA3436";"IWA3436";"5B";55520
"IWA5331";"IWA5331";"5B";55520
"IWA5486";"IWA5486";"5B";55520
"IWA6638";"IWA6638";"5B";55520
"IWA1380";"IWA1380";"5B";56595
"IWA2180";"IWA2180";"5B";56595
"IWA7507";"IWA7507";"5B";56595
"IWA2181";"IWA2181";"5B";57831
"IWA2182";"IWA2182";"5B";57831
"IWA2536";"IWA2536";"5B";57831
"IWA8343";"IWA8343";"5B";57831
"IWA3025";"IWA3025";"5B";57899
"IWA1018";"IWA1018";"5B";58240
"IWA4622";"IWA4622";"5B";58240
"IWA6867";"IWA6867";"5B";58443
"IWA4346";"IWA4346";"5B";59434
"IWA6383";"IWA6383";"5B";59434
"IWA3985";"IWA3985";"5B";59676
"IWA822";"IWA822";"5B";59676
"IWA4074";"IWA4074";"5B";59785
"IWA5283";"IWA5283";"5B";59785
"IWA1374";"IWA1374";"5B";60207
"IWA2133";"IWA2133";"5B";60307
"IWA4222";"IWA4222";"5B";60307
"IWA4571";"IWA4571";"5B";60307
"IWA5218";"IWA5218";"5B";60307
"IWA6291";"IWA6291";"5B";60307
"IWA2453";"IWA2453";"5B";60677
"IWA2454";"IWA2454";"5B";60677
"IWA7795";"IWA7795";"5B";61655
"IWA5139";"IWA5139";"5B";62602
"IWA3164";"IWA3164";"5B";63072
"IWA3165";"IWA3165";"5B";63072
"IWA945";"IWA945";"5B";63233
"IWA3105";"IWA3105";"5B";68306
"IWA1730";"IWA1730";"5B";68364
"IWA2697";"IWA2697";"5B";68364
"IWA2698";"IWA2698";"5B";68364
"IWA2969";"IWA2969";"5B";68364
"IWA3008";"IWA3008";"5B";68364
"IWA3719";"IWA3719";"5B";68364
"IWA5487";"IWA5487";"5B";68364
